"filename", "language", "Markdown", "XML", "Properties", "JavaScript", "HTML", "JSON", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ADMIN\ManageCredentials.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ADMIN\ManageDepartment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 14, 109
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ADMIN\ManageMultipleUserForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 10, 60
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ADMIN\ManageSections.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 14, 109
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ADMIN\ManageSessions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 95, 0, 0, 14, 109
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ADMIN\ManageSingleUserForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 13, 89
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ADMIN\ManageUsers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\CCPD.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 7, 51
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\CCPD2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 8, 81
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ChatWindow.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 62, 0, 8, 70
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ChatWindow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 1, 17, 161
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Dashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 40, 0, 7, 47
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 1, 8, 56
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Dashboard2.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 158, 0, 26, 184
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Dashboard2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 19, 141
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
