"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "Properties", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Notification.jsx", "JavaScript JSX", 0, 0, 129, 0, 0, 0, 0, 0, 2, 22, 153
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\SendIDPass.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Support.css", "PostCSS", 0, 0, 0, 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\rohin\Desktop\mailer\frontend\src\Components\Support.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 0, 13, 96
"c:\Users\rohin\Desktop\mailer\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\rohin\Desktop\mailer\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\rohin\Desktop\mailer\frontend\src\utils\getUserInfo.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rohin\Desktop\mailer\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 539, 4552, 1071, 788, 5, 7, 13, 2, 31, 367, 7375
